s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
326.0,1307.949,824.383,nan,179.285,nan,0.532,7.48,0.88,0.000,no_dem
327.0,1307.085,824.429,nan,176.833,nan,0.532,7.49,0.99,0.000,no_dem
328.0,1306.200,824.471,nan,178.211,nan,0.532,7.36,0.88,0.000,no_dem
329.0,1305.295,824.508,nan,177.764,nan,0.532,7.05,0.93,0.000,no_dem
330.0,1304.367,824.541,nan,177.458,nan,0.532,6.79,0.88,0.000,no_dem
331.0,1303.416,824.572,nan,177.171,nan,0.532,6.42,0.94,0.000,no_dem
332.0,1302.442,824.601,nan,176.600,nan,0.532,6.53,0.82,0.000,no_dem
333.0,1301.444,824.628,nan,176.257,nan,0.532,6.83,0.88,0.000,no_dem
334.0,1300.421,824.655,nan,175.765,nan,0.532,6.64,0.93,0.000,no_dem
335.0,1299.372,824.683,nan,174.992,nan,0.532,6.37,0.89,0.000,no_dem
336.0,1298.296,824.712,nan,174.187,nan,0.532,6.04,0.69,0.000,no_dem
337.0,1297.194,824.743,nan,173.930,nan,0.532,5.81,0.82,0.000,no_dem
338.0,1296.063,824.778,nan,172.410,nan,0.532,3.97,0.97,0.000,no_dem
