s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
243.0,1350.806,777.145,241.790,233.980,7.810,1.470,8.78,1.00,0.000,intact
244.0,1350.434,777.990,241.810,233.869,7.941,1.470,9.23,1.00,0.000,intact
245.0,1350.060,778.832,241.880,233.938,7.943,1.470,9.33,1.00,0.000,intact
246.0,1349.682,779.672,241.910,233.737,8.173,1.470,9.72,1.00,0.000,intact
247.0,1349.300,780.508,241.890,234.379,7.511,1.470,9.81,1.00,0.000,intact
248.0,1348.913,781.341,241.990,234.574,7.416,1.470,10.16,1.00,0.000,intact
249.0,1348.519,782.171,242.020,234.010,8.010,1.470,10.36,1.00,0.000,intact
250.0,1348.118,782.997,242.040,233.849,8.191,1.470,10.78,1.00,0.000,intact
251.0,1347.708,783.819,242.090,234.472,7.618,1.470,11.28,1.00,0.000,intact
252.0,1347.291,784.637,242.100,235.799,6.301,1.470,11.89,1.00,0.000,intact
253.0,1346.866,785.450,242.210,235.884,6.326,1.470,11.87,1.00,0.000,intact
254.0,1346.431,786.259,242.290,235.955,6.335,1.470,11.67,1.00,0.000,intact
255.0,1345.988,787.062,242.290,236.007,6.283,1.470,11.69,1.00,0.000,intact
256.0,1345.535,787.860,242.340,235.872,6.468,1.470,12.18,1.00,0.000,intact
257.0,1345.073,788.652,242.360,236.508,5.852,1.470,12.59,1.00,0.000,intact
258.0,1344.600,789.437,242.350,236.552,5.798,1.470,12.46,1.00,0.000,intact
259.0,1344.117,790.216,242.390,236.699,5.691,1.470,12.68,1.00,0.000,intact
260.0,1343.623,790.988,242.410,236.667,5.744,1.470,12.36,1.00,0.000,intact
261.0,1343.118,791.754,242.410,236.536,5.874,1.470,11.98,1.00,0.000,intact
262.0,1342.601,792.511,242.520,236.477,6.043,1.470,11.85,1.00,0.000,intact
263.0,1342.073,793.261,242.600,236.196,6.404,1.470,11.91,1.00,0.000,intact
264.0,1341.533,794.002,242.610,236.101,6.509,1.470,12.01,1.00,0.000,intact
265.0,1340.980,794.736,242.700,236.002,6.698,1.470,12.18,1.00,0.000,intact
266.0,1340.415,795.460,242.730,235.727,7.003,1.470,12.07,1.00,0.000,intact
267.0,1339.837,796.175,242.900,235.517,7.383,1.470,12.07,1.00,0.000,intact
268.0,1339.245,796.881,242.950,235.369,7.581,1.470,12.03,1.00,0.000,intact
269.0,1338.639,797.577,243.070,235.514,7.556,1.470,11.53,1.00,0.000,intact
270.0,1338.020,798.263,243.170,235.768,7.402,1.470,11.11,1.00,0.000,intact
271.0,1337.386,798.938,243.260,235.345,7.915,1.470,10.87,1.00,0.000,intact
272.0,1336.737,799.603,243.330,235.350,7.980,1.470,10.64,1.00,0.000,intact
273.0,1336.073,800.257,243.400,235.022,8.378,1.470,10.42,1.00,0.000,intact
274.0,1335.394,800.899,243.460,234.840,8.620,1.470,10.57,1.00,0.000,intact
275.0,1334.699,801.530,243.580,234.425,9.155,1.470,10.41,1.00,0.000,intact
276.0,1333.988,802.148,243.650,234.037,9.612,1.470,10.55,1.00,0.000,intact
277.0,1333.260,802.755,244.130,234.130,10.000,1.470,10.75,1.00,0.000,intact
278.0,1332.516,803.348,244.300,233.948,10.352,1.470,9.94,1.00,0.000,intact
279.0,1331.755,803.928,244.370,233.360,11.010,1.470,10.22,1.00,0.000,intact
280.0,1330.976,804.496,244.370,233.070,11.300,1.470,10.14,1.00,0.000,intact
281.0,1330.180,805.049,244.370,232.746,11.624,1.470,11.75,1.00,0.000,intact
282.0,1329.366,805.589,244.370,232.905,11.465,1.470,11.56,1.00,0.000,intact
283.0,1328.535,806.116,244.220,232.737,11.483,1.470,11.48,1.00,0.000,intact
284.0,1327.689,806.631,244.090,233.363,10.727,1.470,12.43,1.00,0.000,intact
285.0,1326.832,807.136,244.140,232.125,12.014,1.470,11.89,1.00,0.000,intact
286.0,1325.965,807.632,244.150,232.212,11.938,1.470,11.44,1.00,0.000,intact
287.0,1325.090,808.122,244.180,231.831,12.349,1.470,10.66,1.00,0.000,intact
288.0,1324.209,808.606,244.200,232.172,12.028,1.470,10.54,1.00,0.000,intact
289.0,1323.325,809.086,244.210,231.189,13.021,1.470,10.76,1.00,0.000,intact
290.0,1322.440,809.564,244.210,231.046,13.164,1.470,10.38,1.00,0.000,intact
291.0,1321.557,810.040,244.210,231.590,12.620,1.470,9.91,1.00,0.000,intact
292.0,1320.676,810.518,244.310,231.712,12.598,1.470,10.17,1.00,0.000,intact
293.0,1319.802,810.997,244.320,231.820,12.500,1.470,10.41,1.00,0.000,intact
294.0,1318.935,811.480,244.390,231.900,12.490,1.470,10.51,1.00,0.000,intact
295.0,1318.079,811.968,244.450,231.794,12.656,1.470,10.29,1.00,0.000,intact
296.0,1317.235,812.462,244.460,231.927,12.534,1.470,10.11,1.00,0.000,intact
297.0,1316.405,812.965,244.510,231.750,12.760,1.470,10.02,1.00,0.000,intact
298.0,1315.592,813.477,244.520,231.528,12.992,1.470,9.72,1.00,0.000,intact
299.0,1314.799,814.001,244.590,231.648,12.942,1.470,9.37,1.00,0.000,intact
300.0,1314.026,814.537,244.630,231.855,12.775,1.470,9.40,1.00,0.000,intact
301.0,1313.277,815.087,244.670,231.827,12.843,1.470,9.20,1.00,0.000,intact
302.0,1312.554,815.653,244.670,232.028,12.642,1.470,9.36,1.00,0.000,intact
303.0,1311.857,816.235,244.800,233.395,11.405,1.470,9.48,1.00,0.000,intact
304.0,1311.185,816.828,244.870,233.654,11.216,1.470,9.71,1.00,0.000,intact
305.0,1310.533,817.429,244.880,233.722,11.158,1.470,9.67,1.00,0.000,intact
306.0,1309.898,818.034,244.920,233.758,11.162,1.470,9.41,1.00,0.000,intact
307.0,1309.278,818.636,244.920,233.777,11.143,1.470,9.50,1.00,0.000,intact
308.0,1308.668,819.233,244.950,233.782,11.168,1.470,9.66,1.00,0.000,intact
309.0,1308.066,819.820,245.060,233.737,11.323,1.470,9.79,1.00,0.000,intact
