s,x,y,z_ceil_flight1,z_ceil_flight2,dz
122.0000,1373.4372,698.0868,166.8129,166.8094,0.0035
123.0000,1372.9829,698.9711,166.7389,166.7508,-0.0119
124.0000,1372.5248,699.8546,166.7960,166.7773,0.0187
125.0000,1372.0642,700.7377,167.0577,166.8250,0.2328
126.0000,1371.6021,701.6208,167.0919,166.8638,0.2280
127.0000,1371.1398,702.5047,167.0999,166.8831,0.2168
128.0000,1370.6785,703.3897,167.1512,166.8831,0.2681
129.0000,1370.2197,704.2765,166.9012,166.8774,0.0238
130.0000,1369.7647,705.1656,166.9615,166.8780,0.0835
131.0000,1369.3151,706.0579,167.1670,166.8857,0.2812
132.0000,1368.8722,706.9538,167.2145,166.8982,0.3164
133.0000,1368.4378,707.8540,167.2347,166.9835,0.2512
134.0000,1368.0133,708.7591,167.2595,167.0611,0.1985
135.0000,1367.6006,709.6697,167.3005,167.1564,0.1441
136.0000,1367.2012,710.5864,167.3617,167.1945,0.1671
137.0000,1366.8169,711.5095,167.3618,167.1950,0.1669
138.0000,1366.4493,712.4394,167.1969,167.1950,0.0019
139.0000,1366.1002,713.3765,167.1166,167.1541,-0.0376
140.0000,1365.7712,714.3208,166.9026,166.8226,0.0800
141.0000,1365.4631,715.2721,166.7424,166.7932,-0.0508
142.0000,1365.1763,716.2300,166.6747,166.7976,-0.1230
143.0000,1364.9111,717.1942,166.6736,166.7879,-0.1144
144.0000,1364.6681,718.1642,166.6795,166.7810,-0.1015
145.0000,1364.4478,719.1396,166.6969,166.7535,-0.0565
146.0000,1364.2507,720.1200,166.7219,166.7946,-0.0727
147.0000,1364.0775,721.1048,166.7387,166.7946,-0.0559
148.0000,1363.9288,722.0936,166.7241,166.7776,-0.0535
149.0000,1363.8053,723.0859,166.7008,166.7307,-0.0299
150.0000,1363.7078,724.0809,166.4997,166.5497,-0.0501
151.0000,1363.6372,725.0782,166.4707,166.5305,-0.0598
152.0000,1363.5943,726.0770,166.4752,166.5548,-0.0796
153.0000,1363.5800,727.0764,166.4955,166.5716,-0.0760
