s,width_lidar_m,width_1970_m,ratio_1970_over_lidar,usable
254.0,9.9837,7.911111111111111,0.792402727557029,True
255.0,10.3903,7.555555555555555,0.7271739560508893,True
256.0,10.5034,7.555555555555555,0.7193437892068812,True
257.0,10.3648,7.111111111111111,0.6860828101951905,True
258.0,10.0853,7.111111111111111,0.7050966367992137,True
259.0,10.0736,7.111111111111111,0.7059155724975292,True
260.0,9.8646,6.5777777777777775,0.6668063355612774,True
261.0,9.4846,6.5777777777777775,0.6935218963137905,True
262.0,9.3924,6.222222222222222,0.662474151678189,True
263.0,9.2148,6.044444444444444,0.6559496076360251,True
264.0,9.3533,6.044444444444444,0.6462365629718329,True
265.0,9.4878,6.044444444444444,0.6370754489391054,True
266.0,9.7603,6.311111111111111,0.6466103614756832,True
267.0,9.5638,6.844444444444444,0.7156616035931789,True
268.0,9.4386,6.666666666666667,nan,False
269.0,9.5994,6.666666666666667,nan,False
270.0,9.7698,6.666666666666667,nan,False
271.0,10.029,6.666666666666667,nan,False
272.0,10.3886,6.666666666666667,nan,False
273.0,10.0628,6.666666666666667,nan,False
274.0,9.4455,6.666666666666667,nan,False
275.0,9.3591,6.666666666666667,nan,False
276.0,9.535,6.666666666666667,nan,False
277.0,8.8315,6.666666666666667,nan,False
278.0,8.774,5.955555555555556,nan,False
279.0,8.9825,5.955555555555556,nan,False
280.0,8.9581,5.955555555555556,nan,False
281.0,8.3537,5.955555555555556,nan,False
282.0,7.8594,5.955555555555556,nan,False
283.0,6.8419,5.955555555555556,nan,False
284.0,6.0742,5.955555555555556,nan,False
285.0,6.0826,5.955555555555556,nan,False
286.0,6.3917,6.4,nan,False
287.0,6.7029,6.4,nan,False
288.0,7.0254,6.4,nan,False
289.0,7.1171,6.4,nan,False
290.0,7.5368,6.4,nan,False
291.0,7.5933,6.4,nan,False
292.0,7.7774,6.4,nan,False
293.0,8.0614,6.4,nan,False
294.0,8.0672,6.4,nan,False
295.0,7.7758,6.4,nan,False
296.0,7.2525,6.4,nan,False
297.0,6.7546,6.4,nan,False
298.0,6.1489,7.733333333333333,nan,False
299.0,6.6014,8.533333333333333,nan,False
300.0,7.0221,8.533333333333333,nan,False
301.0,7.7783,8.533333333333333,nan,False
